Interprise,Name,Age,Since,Position,Biography,,,,,,,,,
"Australia and New Zealand Banking Group","							Graham;Hodges",61,2016,                                 Deputy Chief Executive Officer," 					 							Mr. Graham Kennedy Hodges is Deputy Chief Executive Officer of the Company. He has resigned from the position of Acting Chief Financial Officer of the Company., effective 18 July 2016. Prior to this role, Graham was Chief Executive Officer, New Zealand and a director of ANZ National Bank Limited responsible for the running of ANZ Group's New Zealand business. He was also acting Chief Executive Officer for Australia in 2009. Graham has held the positions of Group Managing Director, Corporate, Managing Director, Small to Medium Business and Head of Corporate Banking for Australia and New Zealand. Other prior roles with ANZ include State Manager, Business Banking for Victoria and Tasmania; and Regional Executive, Business Banking Melbourne. Graham joined ANZ in 1991 and was appointed Chief Economist in 1992, a post he held for three years. Before ANZ, Graham spent several years with the International Monetary Fund in Washington DC and nine years in Commonwealth Treasury in Canberra. Graham has a Bachelor of Economics (Hons) from Monash University.",,,,,,,,,
"Australia and New Zealand Banking Group","							Michelle;Jablko",null,2016,                                 Chief Financial Officer," 					 							Ms. Michelle Jablko is Chief Financial Officer of the Company., since 18 July 2016. Michelle joins ANZ from independent investment bank Greenhill & Co where she has been Managing Director and Co-Head for Australia since 2014. At Greenhill, Michelle is a member of the firm’s Global Management Committee with joint responsibility for leading its Australian business. Formerly she was at UBS Australia from 2000. At both Greenhill and UBS, Michelle has been a strategic advisor to large Australian companies on strategy, M&A and capital markets across a range of sectors including financial services. Michelle commenced her career as a lawyer at Arthur Robinson & Hedderwicks where she was focused on M&A, banking and finance law. Michelle holds a Bachelor of Law with Honours in Law and Economics from Monash University. At ANZ Michelle will have responsibility for all aspects of Finance as well as Treasury, Mergers and Acquisitions and Investor Relations.",,,,,,,,,
"Australia and New Zealand Banking Group","							David;Hisco",null,2015,"                                 Chief Executive Officer, New Zealand, Group Executive"," 					 							Mr. David Duncan Hisco has been Chief Executive Officer, New Zealand, Group Executive of Australia and New Zealand Banking Group Ltd., effective 3 April 2015. he has 30+ year career at ANZ, David has held a number of senior executive roles in retail and commercial banking including leading ANZ’s global Commercial segment from 2008 to 2014. His experience in New Zealand includes being Managing Director of finance company UDC between 1998 and 2000, oversight of Eftpos New Zealand from 2002 to 2004, Chairman of UDC from 2005 to 2007 and oversight of New Zealand Commercial since 2008. David holds a Bachelor of Business (Accounting) from Deakin University, a Graduate Diploma in Business Administration and an Executive Masters of Business Administration, both from Monash University (Mt Eliza). In 2013 David won the Asian Banker CEO Leadership Achievement Award for New Zealand. This award is presented every three years for the delivery of strategy during that period. David won the award for successfully leading the merger of The National Bank of New Zealand with ANZ. He is a founding director of the Australian food donation charity, Second Bite, a Fellow of the Financial Services Institute of Australasia, a Fellow Certified Practicing Accountant (Australia), and Chairman of children’s charity, The First Tee New Zealand.",,,,,,,,,
"Australia and New Zealand Banking Group","							Nigel;Williams",null,2011,                                 Chief Risk Officer," 					 							Mr. Nigel Henry Murray Williams is Chief Risk Officer of the company. He is responsible for the ANZ Group's Risk Management, overseeing our global Credit, Market and Operational Risk and Compliance teams as well as risk related strategies, policies and processes. He has more than 30 years banking experience in Australia, New Zealand and Asia. Prior to his current role he was Managing Director of Institutional Australia and has previously held the role of Managing Director Institutional, Corporate and Commercial Banking in New Zealand having joined ANZ in 2003. Nigel graduated from the University of Otago with a Bachelor of Commerce with majors in Marketing, Accounting and Finance and has also attended leadership and strategy training at the University of Michigan, USA, Duke University, USA and Oxford University, England. He is a Director on the Board of Shanghai Rural Commercial Bank, and a Director of ANZ Bank New Zealand Limited. Since 2004 he has been an active member of ANZ’s Diversity Council with a particular interest in gender balance, and is also Executive Sponsor of ANZ’s Pride Network. Nigel is a past member of the 2008 NZ Government Taskforce on Capital Markets Development. He is also a former Director of NZX Limited, E*TRADE Australia Limited and Australian Financial Markets Association. He is a Chartered member of New Zealand Institute of Directors, and in 2009 was awarded a fellow of INFINZ. He is also a member of the Art Gallery NSW President's Council, a past Chairman of the City Art Gallery Foundation and a past Chairman of Wellesley College.",,,,,,,,,
"Australia and New Zealand Banking Group","							Maile;Carnegie",null,2016,"                                 Group Executive, Digital Banking"," 					 							",,,,,,,,,
"Australia and New Zealand Banking Group","							Fred;Ohlsson",null,2016,"                                 Group Executive, Australia"," 					 							",,,,,,,,,
"Australia and New Zealand Banking Group","							Kathryn;vanderMerwe",null,2017,                                 Group Executive Talent and Group Executive Talent and Culture," 					 							Ms. Kathryn van der Merwe is the Group Executive Talent and Culture of the Company. Kathryn will join ANZ from Bain & Company where she has held senior leadership roles focussed on business transformation. This includes a focus on strengthening organisational culture and capability, and the development and delivery of change strategies to improve performance and facilitate sustainable growth. Most recently she was Expert Vice President for Bain’s Results Delivery Practice in the Asia Pacific region having worked for the firm for 14 years. While at Bain, Kathryn made a significant contribution through developing and leading training, staff engagement, leadership programs and recruitment, and received global recognition for her contribution to training, coaching, mentoring and leadership. Kathryn holds a PhD in Psychology from the University of New South Wales.",,,,,,,,,
"Australia and New Zealand Banking Group","							Mark;Whelan",55,2016,"                                 Group Executive, Institutional"," 					 							Mr. Mark David Whelan is Group Executive, Institutional of the Company. He was Chief Executive Officer of ANZ Australia and Management Board member responsible for Global Commercial Banking. He has been in banking almost 30 years and has vast experience in the Asian Market, and Institutional, Corporate and Commercial Banking. Prior to his current role, he held the roles of Managing Director Corporate and Commercial Banking Australia and Managing Director of ANZ’s Institutional, Commercial and Private Bank businesses based in Hong Kong. Mark joined ANZ in November 2004 as Head of Sales, Markets, before taking on the role of Joint Managing Director, Markets, in 2005 and then Managing Director, Institutional Asia, in 2007. Prior to ANZ, Mark worked at Westpac where he held several senior roles including General Manager, Global Investor Sales and General Manager, Institutional Banking, Victoria. Mark holds a Graduate Diploma in Taxation and a Diploma Accounting from the Royal Melbourne Institute of Technology (RMIT). Mark is a Fellow of the Certified Practicing Accounts (CPA) and a member of the Financial Treasury Association, the Australian Financial Markets Association and the Australian Institute of Company Directors.",,,,,,,,,
"Australia and New Zealand Banking Group","							Simon;Pordage",null,2016,                                 Company Secretary," 					 							Mr. Simon Pordage is Company Secretary of the Company. Mr Pordage joined ANZ in May 2016. Mr Pordage is a Chartered Secretary and has extensive company secretarial and corporate governance experience. From 2009 to 2016 he was Company Secretary for Australian Foundation Investment Company Limited and a number of other listed investment companies. Other former roles include being Deputy Company Secretary for ANZ and Head of Board Support for Barclays PLC in the United Kingdom. Mr Pordage is National President and Chairman of Governance Institute of Australia, having joined the Board in 2012 and is a member and former Chairman of its National Legislation Review Committee.",,,,,,,,,
"Australia and New Zealand Banking Group","							Ilana;Atlas",62,2014,                                 Independent Non-Executive Director," 					 							Ms. Ilana Rachel Atlas is an Independent Non-Executive Director at Australia and New Zealand Banking Group Limited since September 24, 2014. Ms Atlas brings a strong financial services background and legal experience to the Board. Ms Atlas’ last executive role was Group Executive, People at Westpac, where she was responsible for human resources, corporate affairs and sustainability. Prior to that, she was Westpac’s Group Secretary and General Counsel. Before her 10 years at Westpac, Ms Atlas was a partner in law firm Mallesons Stephen Jaques (now King & Wood Mallesons). In addition to her practice in corporate law, she held a number of management roles in the firm including Executive Partner, People and Information, and Managing Partner. she is Chairman of The Bell Shakespeare Company Limited (from 2010, Director from 2004). She is Director of Coca-Cola Amatil Limited (from 2011), Westfield Corporation Limited (from 2014), Treasury Corporation of New South Wales (from 2013), Oakridge Wines Pty Limited (from 2007), Human Rights Law Centre Ltd (from 2012) and Jawun (from 2014). Member: Australian Institute of Company Directors’ Corporate Governance Committee (from 2014) and Panel of Adara Partners (from 2015). Fellow: Senate of the University of Sydney (from 2015). She was former Director of Suncorp Group Limited (2011–2014), Suncorp-Metway Limited (2011–2014), GIO General Limited (2011–2013), AAI Limited (2011–2014) and Scentre Group Limited (previously known as Westfield Holdings Limited) (2011–2014).",,,,,,,,,
"Australia and New Zealand Banking Group","							Paula;Dwyer",56,2012,                                 Independent Non-Executive Director," 					 							Ms. Paula Jane Dwyer is an Independent Non-Executive Director of Australia and New Zealand Banking Group Ltd since April 1, 2012. Ms Dwyer brings extensive board, financial services, strategy and business leadership experience. Her career as a company director spans financial services and investment, healthcare, gambling entertainment, fast moving consumer goods, property and construction and retailing sectors. She has held senior executive roles in investment management at Calibre Asset Management, corporate finance at Ord Minnet (J P Morgan) and accounting at Price Waterhouse (now PricewaterhouseCoopers). He is Chairman of Tabcorp Holdings Limited (from 2011, Director from 2005), Healthscope Limited (from 2014) and Kin Group Advisory Board (from 2014). He is Director of Lion Pty Ltd (from 2012). He was former Deputy Chairman of Leighton Holdings Limited (2013–2014, Director 2012) and Baker IDI Heart and Diabetes Institute (2003–2013). Former Director: Suncorp Group Limited (2007–2012), Promina Limited (2002–2007) and Foster’s Group Limited (2011). Former Member: John Holland Group Advisory Board (2012–2014), Australian Government Takeovers Panel (2008–2014) and ASIC External Advisory Panel (2012–2015).",,,,,,,,,
"Australia and New Zealand Banking Group","							Sarah;Halton",56,2016,                                 Non-Executive Independent Director," 					 							Ms. Sarah Jane Halton is a Non-Executive Independent Director of the Company. Ms Halton is a former Secretary of the Australian Department of Finance, responsible for supporting the delivery of the Australian Government budget, the ongoing management of the Australian Government’s non-defence domestic property portfolio, key asset sales and the financial framework for Australian Government agencies. She brings to the Board extensive experience in finance, insurance, risk management, information technology, human resources, health and ageing and public policy. She also has significant international experience. In a 33 year career within the public service, Ms Halton’s previous roles include Secretary of the Australian Department of Health, Secretary for the Department of Health and Ageing, and Executive Co-ordinator (Deputy Secretary) of the Department of the Prime Minister and Cabinet. She is Member of Executive Board of the Institute of Health Metrics and Evaluation at the University of Washington (from 2007). Board Member: Coalition for Epidemic Preparedness Innovations (Norway) (from 2016). Public Policy Fellow: ANU Crawford School of Public Policy (from 2012). She is Former Chairman of OECD Asian Senior Budget Officials Network (from 2014–2016), World Health Organisation Executive Board (2013–2014), OECD’s Health Committee (2007–2013), Food Regulation Standing Committee (2002–2014) and National Aboriginal and Torres Strait Islander Health Council (2002–2008). Former President: World Health Assembly (2007). Former Executive Board Member: World Health Organisation (2004–2007 and 2012–2015). Former Member: Melbourne Institute Advisory Board (2007–2015), the National E-Health Transition Authority (2005–2014) and Australian Institute of Health and Welfare (2002–2014). Former Commissioner: Australian Sports Commission (2008–2010 and 2013–2014), Australian Commission on Safety and Quality in Health Care (2006–2015) and Health Insurance Commission (2002–2005).",,,,,,,,,
"Australia and New Zealand Banking Group","							Lee;HsienYang",59,2009,                                 Independent Non-Executive Director," 					 							Mr. Lee Hsien Yang is an Independent Non-Executive Director of Australia and New Zealand Banking Group Ltd since February 2009. Mr Lee has considerable knowledge of and operating experience in Asia. He has a background in engineering and brings to the Board his international business and management experience across a wide range of sectors including telecommunications, food and beverages, property, publishing and printing, financial services, education, civil aviation and land transport. Her Current Directorships Chairman: The Islamic Bank of Asia Limited (from 2012, Director from 2007), Civil Aviation Authority of Singapore (from 2009) and General Atlantic Singapore Fund Pte Ltd (from 2013). Director: Rolls-Royce Holdings plc (from 2014), General Atlantic Singapore Fund FII Pte Ltd (from 2014), Cluny Lodge Pte Ltd (from 1979) and Caldecott Inc. (from 2013). She is Member: Governing Board of Lee Kuan Yew School of Public Policy (from 2005). Special Adviser: General Atlantic (from 2013). Consultant: Capital International Inc Advisory Board (from 2007). President: INSEAD South East Asia Council (from 2013). She was Former Chairman: Fraser & Neave, Limited (2007–2013) and Asia Pacific Investments Pte Ltd (2010–2012, Director 2009–2012). Former Director: Singapore Exchange Limited (2004–2016). Former Member: Rolls Royce International Advisory Council (2007–2013). Former Chief Executive Officer: Singapore Telecommunications Limited (1995–2007).",,,,,,,,,
"Australia and New Zealand Banking Group","							Graeme;Liebelt",62,2013,                                 Independent Non-Executive Director," 					 							Mr. Graeme Richard Liebelt is an Independent Non-Executive Director at Australia and New Zealand Banking Group Ltd since July 1, 2013. Mr Liebelt has extensive international experience and a strong record of achievement as a senior executive including in strategy development and implementation. He brings to the Board his experience of a 23 year executive career with Orica Limited (including a period as Chief Executive Officer), a global mining services company with operations in more than 50 countries. His Current Directorships, Chairman: Amcor Limited (from 2013, Director from 2012). Director: Australian Foundation Investment Company Limited (from 2012), Carey Baptist Grammar School (from 2012) and DuluxGroup Limited (from 2016). He was Former Deputy Chairman: Melbourne Business School (2012–2015, Director from 2008). Former Chairman: The Global Foundation (2014–2015, Director from 2006). Former Chief Executive Officer and Managing Director: Orica Limited (2005–2012). Former Executive Director: Orica Limited (2007–2012). Former Director: Business Council of Australia (2010–2012).",,,,,,,,,
"Australia and New Zealand Banking Group","							John;Macfarlane",56,2014,                                 Independent Non-Executive Director," 					 							Mr. John Thomas Macfarlane is Independent Non-Executive Director of the company. since May 2014. Mr Macfarlane is one of Australia’s most experienced international bankers and previously served as Executive Chairman of Deutsche Bank Australia and New Zealand, and CEO of Deutsche Bank Australia. Prior to joining Deutsche Bank he was CEO of Bankers Trust New Zealand. Mr Macfarlane has also worked in the USA, Japan and PNG, and brings to the Board a depth of banking experience in ANZ’s key markets in Australia, New Zealand and the Asia Pacific. His Current Directorships, Chairman: AGInvest Holdings Limited (MyFarm Limited) (from 2014). Director: St. Vincent’s Institute of Medical Research (from 2008), Craigs Investment Partners Limited (from 2013), Colmac Group Pty Ltd (from 2014) and Aikenhead Centre for Medical Discovery Limited (from 2016). He was Former Executive Chairman: Deutsche Bank AG, Australia and New Zealand (2007–2014) and Chief Country Officer, Australia (2011–2014). Former Director: Deutsche Australia Limited (2007–2014) and Deutsche Securities Australia Limited (2011–2014). Former Chief Executive Officer: Deutsche Australia Limited (2011–2014). Former President: Deutsche Securities, Japan (1999–2006). Former Chief Country Officer: Deutsche Bank AG (1999–2006). Former Member: Business Council of Australia (2011–2014).",,,,,,,,,
"Avianca Holdings S.A.","							German;Efromovich",66,null,                                 Chairman of the Board," 					 							Mr. German Efromovich serves as Chairman of the Board of Directors of Avianca Holdings S.A. He began his career from SGS Group. Since 1977 he has developed range of businesses centered around the oil market in Brazil. He formed Grupo Synergy, a business conglomerate with diversified business interests with investments in Oil and Energy, Shipbuilding, Oil Services and Technical Inspections, Radiochemistry, Radiopharmaceuticals, Agriculture and Aviation. He holds a degree in Mechanical Engineering from Universidade do Brasil in 1976.",,,,,,,,,
"Avianca Holdings S.A.","							Hernan;RinconLema",63,null,                                 Chief Executive Officer," 					 							Mr. Hernan Rincon Lema serves as Chief Executive Officer of Avianca Holdings S.A. He served in companies of technology and telecommunications industries such as Microsoft, Ferag Americas, Cocelco and Grupo Unysis. Mr. Rincón holds a Bachelor of Arts degree in Math and Computer Science from the State University of New York and a Master of Science degree in Industrial Engineering from the Universidad de los Andes, in Colombia. Mr. Rincon also holds a Masters degree from Harvard’s John F. Kennedy School of Government, where he was a member of the prestigious Edward S. Mason Fellowship.",,,,,,,,,
"Avianca Holdings S.A.","							Matthew;Vincett",null,null,                                 Chief Executive Officer of LifeMiles B.V.," 					 							Mr. Matthew Vincett serves as Chief Executive Officer of LifeMiles B.V. of Avianca Holdings S.A. He was the Vice President of the loyalty business unit since 2010, where he led the integration of the loyalty areas of Avianca and Taca, the creation and development of the LifeMiles program and the spin-off of our loyalty business unit. Prior to his tenure at Avianca, Mr. Vincett served as Commercial Vice President and Regional Airlines Vice President at Taca.",,,,,,,,,
"Avianca Holdings S.A.","							SantiagoAndres;DiagoHeilbron",48,2014,"                                 Chief Operating Officer, Executive Vice President"," 					 							Mr. Santiago Andres Diago Heilbron serves as Chief Operating Officer, Executive Vice President of Avianca Holdings S.A. since January 2014. He was Vice President of Flight Operations at Avianca from May 2001 to May 2009. Prior to January 2014, Mr. Diago served as Executive President of OceanAir Linhas Aéreas S.A., which conducts business under the trade name Avianca on domestic flights within Brazil. He holds a law degree with emphasis in SocioEconomic Sciences from Pontifica Universidad Javeriana.",,,,,,,,,
"Avianca Holdings S.A.","							Estuardo;Ortiz",45,null,"                                 Executive Vice President, Chief Revenue Officer"," 					 							Mr. Estuardo Ortiz serves as Executive Vice President, Chief Revenue Officer of Avianca Holdings S.A. He served as Executive VicePresident and Chief Operations Officer since February 2010, and was Taca’s Executive Vice President and Chief Operating Officer from January 2009 to February 2010. Prior to 2009, Mr. Ortiz served as the Vice-President of Commercial Operations at Taca from 2006 to 2008 and as Vice-President of Sales at Taca from 2005 to 2006. He previously developed a successful international career for 11 years in Philip Morris International and Kraft Foods, serving in a variety of roles in Sales, Marketing and General Management; including Country Manager El Salvador, Business Unit Director Caribbean and Director Sales Strategy for Latin America & Canada. He holds a degree in Chemical Engineering from the Universidad Rafael Landivar in Guatemala and a Masters of Business Administration degree from the Universidad Francisco Marroquin in Guatemala.",,,,,,,,,
"Avianca Holdings S.A.","							Roberto;HeldOtero",null,2016,                                 Vice President - Finance," 					 							Mr. Roberto Held Otero serves as Vice President - Finance of Avianca Holdings S.A. since November 1, 2016. He holds a degree in Industrial Engineering from Universidad de Los Andes.",,,,,,,,,
"Avianca Holdings S.A.","							Elisa;Murgas",null,null,"                                 General Secretary, Vice-President of Legal Affairs"," 					 							Ms. Elisa Murgas serves as General Secretary, Vice-President of Legal Affairs of Avianca Holdings S.A. She holds a degree in law and political science from the Universidad Santo Tomás and a Master’s degree in Commercial Law from the Pontificia Universidad Javeriana.",,,,,,,,,
"Avianca Holdings S.A.","							Eduardo;Asmar",null,null,                                 Vice-President of Corporate Planning," 					 							Mr. Eduardo Asmar serves as Vice-President of Corporate Planning of Avianca Holdings S.A. Mr. Asmar served as our Vice-President of Planning from November 2005 to August 2010. From 2002 until 2005, Mr. Asmar served as our Director of Network Planning, after having served from 1995 until 2002 as our Chief of Network Planning. He holds a degree in Systems Engineering from Universidad de Los Andes.",,,,,,,,,
"Avianca Holdings S.A.","							Ana;MariaRubio",44,null,                                 Vice-President of Human Resources," 					 							Ms. Ana Maria Rubio serves as Vice-President of Human Resources of Avianca Holdings S.A. Prior to her service in Avianca, Ms. Rubio served as Human Resources Director at Merck´s KGaA for Latin America, where she was in charge of 21 countries from 2010 to 2015. Prior to that, she was the Human Resources Vice President of Copa Airlines Colombia from 2006 to 2010.",,,,,,,,,
"Avianca Holdings S.A.","							MiltonAntonio;SolanoBarahona",null,2010,                                 Vice-President of Accounting Shared Services," 					 							Mr. Milton Antonio Solano Barahona serves as Vice-President of Accounting Shared Services of Avianca Holdings S.A. March 1, 2010. Prior to that, Mr. Solano served in several financial management positions in Taca from 1996 to 2001. Prior to joining Taca, he spent seven years as Finance Manager with British American Tobacco and previously had a successful career as Audit Manager in KPMG.",,,,,,,,,
"Avianca Holdings S.A.","							Alexander;Bialer",69,null,                                 Director," 					 							Mr. Alexander Bialer serves as Director of Avianca Holdings S.A. He has over 41 years of experience in Systems Implementation, Strategic Planning, Marketing, Mergers and Acquisitions and Corporate Governance. He was Member of the Board of Directors of GE Brazil until 2002. He has been Board Member of Sabesp, Romi and Pacific Rubiales, as well as other private equity entities. He holds a degree in Mechanical Engineering from Instituto Tecnologico de Aeronautica-ITA and a postgraduate degree in Systems Management from Fundacao Getulio Vargas (FGV).",,,,,,,,,
"Avianca Holdings S.A.","							Raul;Campos",null,2015,                                 Director," 					 							Mr. Raul Campos serves as Director of Avianca Holdings S.A. His Professional career (1969-1974) began as an economist at the International Bank for Reconstruction and Development (IBRD-World Bank). He first joined Petrobras in 1974 and worked in the financial and commercial areas of the Company and was appointed Executive Director of Petrobras’ trading subsidiary for two successive 3-year mandates. He rejoined Petrobras in 1993, and worked in various capacities including Chief of Long and Short Term Finance Divisions, Deputy Manager of Corporate Finance, Executive Manager of Project Finance, Representative in London and Equity Investor Manager. Beginning January 2004 through 2007 he occupied the position of Investor Relations Executive Manager. In 2006 Mr. Raul Campos was elected Communications Executive Director of the Brazilian Institute of Investor Relations – IBRI. In September 2007, he resigned from Petrobras, and he joined Synergy Group as Chief Financial Officer. He holds a degree from Pontificia Universidad Catolica do Rio de Janeiro and Masters degree from American University.",,,,,,,,,
"Avianca Holdings S.A.","							Jose;Efromovich",null,null,                                 Director," 					 							Mr. Jose Efromovich serves as Director of Avianca Holdings S.A. He began his career in a Brazilian construction company Inca. In 1977, he turned independent, becoming involved in various business activities in the medical field focusing around the production and marketing of radioactive materials used in oncology for diagnoses. For 35 years, he has participated in the development and expansion of Grupo Synergy, a group with investments in Aerospace, Power Generation, Marine Engineering and Hydrocarbons. He holds a degree in Civil Engineering from Universidade Presbiteriana Mackenzie.",,,,,,,,,
"Avianca Holdings S.A.","							Roberto;Kriete",null,null,                                 Director," 					 							Mr. Roberto Kriete serves as Director of Avianca Holdings S.A. He acted as Member of the Board of Directors of Banco Agricola of El Salvador, the Business Foundation for Educational Development (FEPADE) and the Salvadoran Foundation for Health and Human Development (FUSAL). He has acted as Director of Escuela Superior de Economia y Negocios (ESEN), Deputy Director of the Board of Directors of Hotel Real Intercontinental in El Salvador, President of the Kriete Investment Company Group that manages local and international investments in different sectors such as Aviation, Real Estate and Hotels among others, President of the Gloria de Kriete Foundation and Agape, an institution that provides assistance in Health, Nutrition, Education and Shelter and develops Hostels, Catering, Education and Communications Projects. He has served as Member of the Board of TELMEX Internacional and the Carso Health Institute for Carlos Slim foundation. In the Airline Industry he has experience as Founder and Board Member of Volaris in Mexico, Chairman of the Board and Chief Executive Officer of Grupo TACA and President of the Latin American and Caribbean Air Transport Association (ALTA). He holds a Masters of Business Administration degree from the Boston College and a Bachelor of Arts degree in Economics from the Santa Clara University.",,,,,,,,,
"Avianca Holdings S.A.","							Oscar;DarioMorales",null,2012,                                 Independent Director," 					 							Mr. Oscar Dario Morales serves as Independent Director of Avianca Holdings S.A. since April 1, 2012. He is currently Vice President of Corporate Finance at Carvajal S.A. Other positions he has held include: Managing Partner Colombia & President of the Board of Deloitte Latin America (Colombia), Managing Partner, Central America and the Caribbean, Costa Rica & Panama at Deloitte & Touche (2001 - 2007), Managing Partner Colombia and Managing Partner Cali and Head of Audit and Tax at ARTHUR ANDERSEN (1995 - 2001), Chief Financial Officer Riopaila Castile (1992 - 1995) and Chief Financial Officer of Wyeth (1982 - 1991). He holds a degree in Public Accounting and Finance from Pontifica Universidad Javeriana.",,,,,,,,,
"Avianca Holdings S.A.","							Alvaro;JaramilloBuitrago",null,null,                                 Independent Director," 					 							Mr. Alvaro Jaramillo Buitrago serves as Independent Director of Avianca Holdings S.A. He began his Career at Philadelphia National Bank in 1974, where he held various positions. In Colombia he has served as Chairman of Invercredito, Avianca and Bancolombia. In 1997 he founded IQ Outsourcing SA, a company providing services that focus on Operations Management Processing, using image-based technology. He has acted as Member of the Board of Universidad del Norte (Barranquilla-Atlantico, Colombia) and the Boards of Casa Editorial El Tiempo SA, GNC SA and the Corona Foundation. He holds a degree in Business Administration from Universidad del Norte.",,,,,,,,,
"Avianca Holdings S.A.","							JuanGuillermo;SernaValencia",null,null,                                 Independent Director," 					 							Mr. Juan Guillermo Serna Valencia serves as Independent Director of Avianca Holdings S.A. He has served as Chairman of the Organizacion Terpel SA, Director of the Fondo de Garantias (Financial Institutions Guarantee Fund), Economic Committee for the Presidency of the Republic, Vice President of the Organizacion Corona SA, the National Budget Office, the Audit before the Coffee Federation in New York and the National Securities Commission. He acts as Member of the Boards of Vidagas SA, Progytech SA, Industria Quimica Andina SA and Cabarria SA. He holds a degree in Business Administration and a Masters degree in Economics, both from Universidad Nacional de Colombia.",,,,,,,,,
"Avianca Holdings S.A.","							Ramiro;ValenciaCossio",null,null,                                 Independent Director," 					 							Mr. Ramiro Valencia Cossio serves as Independent Director of Avianca Holdings S.A. He has acted as Executive President of the Colombian Chamber of Information Technology and Telecommunications, CCIT. He has also acted as General Manager of Empresas Publicas de Medellin, Manager Fabrica de Licores de Antioquia, Chairman of the Board of Comfamiliar-Camacol and Chairman of the Council of the University of Antioquia. He was also Minister of Mines and Energy during the administration of President Andres Pastrana, Ambassador to New Zealand, Governor of Antioquia, Mayor of Medellin and Education Secretary of Medellin. He holds a Bachelors degree in Humanities from Pontificia Universidad Javeriana and a degree in Law from Universidad Pontificia Bolivariana.",,,,,,,,,
"Avianca Holdings S.A.","							Isaac;YanovichFarbaiarz",null,null,                                 Independent Director," 					 							Mr. Isaac Yanovich Farbaiarz serves as Independent Director of Avianca Holdings S.A. In the past, he was Founder and Director of Banca de Inversion Betainvest SA, Executive Vice President of Tecnoquimicas SA and President of Invesa SA, Lloreda Grasas SA and Ecopetrol. He has been Board Member of Inversiones Mundial SA, TransGas de Occidente, Tecnoquimicas SA, Epsa ESP, Siesa SA, Forsa SA, Carvajal Internacional SA, Universidad Icesi, CTEEP, ISA Interconexion Electrica SA ESP and Women's World Banking. He graduated in Industrial Engineering from Universidad de Los Andes and the University of Pittsburgh in Pennsylvania, as well as he attended to additional studies at the Massachusetts Institute of Technology.",,,,,,,,,
"Avianca Holdings S.A.","							Andres;FelipeRuiz",null,null,                                 IR Contact Officer," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Francisco;GonzalezRodriguez",73,2016,                                 Executive Chairman of the Board," 					 							Mr. Francisco Gonzalez Rodriguez serves as Executive Chairman of the Board of Bank Bilbao Vizcaya Argentaria, S.A. He was also Chief Executive Officer at the Company. Previously, he served as Chief Executive Officer of the Bank until September 29, 2009. He has also been Member of the European Financial Services Roundtable, Member of the Board of Directors of the Institute for International Finance (IIF), Member of the Institut European d'Etudes Bancaires, Member of the International Monetary Fund’s Capital Markets Consultative Group, Member of the Conference Board International Monetary Conference and Global Counselor, as well as Chairman of Fundacion BBVA and Governor of the Red Cross, Foundation for Help Against Drug Addiction, Foundation for Terrorism Victims, the Guggenheim Museum in Bilbao, Museo de Bellas Artes in Bilbao, Fundacion Principe de Asturias, Real Instituto Elcano, Fundacion Carolina, ESADE, FEDEA, Fundacion de Estudios Financieros, Instituto de Estudios Economicos and Institut Europeu de la Mediterrania. Prior to the merger between Banco Bilbao Vizcaya and Argentaria, he served as Chairman of Argentaria from 1996 to 1999. He also acted as Director of Endesa, Chairman of Banco Uno-e, Banco Hipotecario de Espana, Banco Exterior de Espana, Caja Postal and Banco de Credito Local. He founded FG Inversiones Bursatiles, which was acquired by Merrill Lynch. In addition, he acted as Member of the Executive Committee of the Madrid Stock Exchange and the Executive Committee of Bancoval. Currently, he acts as Board Member of BBVA Bancomer SA and Grupo Financiero BBVA Bancomer SA de CV. He holds a degree in Business and Economics from Universidad Complutense de Madrid.",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Carlos;TorresVila",51,2015,"                                 Executive Director, Chief Executive Officer, Chief Operating Officer"," 					 							Mr. Carlos Torres Vila serves as Executive Director, Chief Executive Officer, Chief Operating Officer of Banco Bilbao Vizcaya Argentaria, S.A. since May 4, 2015. He also served as Head of Digital Banking of Banco Bilbao Vizcaya Argentaria S.A. since March 21, 2014 till May 4, 2015. Moreover, he has served as Chief Financial Officer of Endesa since 2008. Between 2003 and 2008, he acted as Corporate Director of Strategy of Endesa and Member of the Executive Committee. He also served as Board Member for both Auna and Endesa Chile. From 1991 till 2003, he worked as Partner at McKinsey & Company. He graduated from the Massachusetts Institute of Technology (Cmabridge, MA) in 1988 with a Bachelor of Science degree in Electrical Engineering and a Bachelor of Science degree in Management Science. In 1990, he obtained a Master of Science degree in Management from MIT's Sloan School of Management. He also holds a Law degree from Universidad Nacional de Educacion a Distancia.",,,,,,,,,
